Member_ID,YEAR,TotalTxn,TotalQty,TotalSpend,MaxSaleDate,Mode_ProductCategory
M000001,2021,9,18,1943.93,2021-12-08,Dessert
M000001,2022,8,24,1130.75,2022-12-03,Sandwich
M000001,2023,8,8,1123.06,2023-12-09,Dessert
M000001,2024,10,30,668.23,2024-12-03,Beverage
M000001,2025,7,7,485.61,2025-03-25,Merchandise
M000002,2022,33,66,1789.48,2022-12-22,Coffee
M000002,2023,32,96,9478.13,2023-12-19,Sandwich
M000002,2024,35,70,8792.47,2024-12-02,Beverage
M000002,2025,45,45,2454.3,2025-03-06,Beverage
M000003,2023,20,20,1355.6,2023-12-28,Merchandise
M000003,2024,12,36,2584.9,2024-12-05,Sandwich
M000004,2024,10,20,2764.84,2024-12-20,Beverage
M000004,2025,9,27,1471.28,2025-03-02,Dessert
M000005,2021,4,4,274.19,2021-12-14,Beverage
M000005,2022,2,2,498.94,2022-12-25,Pastry
M000005,2024,1,2,289.79,2024-12-23,Dessert
M000005,2025,5,15,843.94,2025-03-18,Beverage
M000006,2022,2,6,442.47,2022-12-23,Merchandise
M000006,2023,1,3,72.92,2023-12-25,Beverage
M000006,2024,2,2,576.91,2024-12-22,Merchandise
M000006,2025,3,3,324.88,2025-03-05,Coffee
M000007,2022,5,5,689.97,2022-12-01,Sandwich
M000007,2023,4,8,1193.19,2023-12-19,Merchandise
M000007,2024,3,6,155.17,2024-12-02,Coffee
M000008,2021,14,28,2606.64,2021-12-25,Beverage
M000008,2022,14,42,2267.39,2022-12-15,Sandwich
M000008,2023,11,22,2794.59,2023-12-13,Sandwich
M000008,2024,10,20,2644.75,2024-12-02,Coffee
M000008,2025,15,30,3371.37,2025-03-16,Pastry
M000009,2025,9,18,1837.03,2025-03-15,Beverage
M000010,2024,20,60,4250.37,2024-12-05,Dessert
M000010,2025,13,26,1319.14,2025-03-23,Sandwich
M000011,2025,1,1,142.0,2025-03-04,Pastry
M000012,2023,34,68,7432.58,2023-12-14,Sandwich
M000012,2024,22,44,4477.45,2024-12-17,Dessert
M000012,2025,46,138,11079.68,2025-03-20,Beverage
M000013,2025,14,28,3001.11,2025-03-08,Sandwich
M000014,2025,3,6,709.0,2025-03-10,Merchandise
M000015,2025,1,2,203.0,2025-03-13,Dessert
M000016,2022,5,5,1191.23,2022-12-08,Merchandise
M000016,2023,3,6,583.74,2023-12-10,Pastry
M000016,2024,3,6,347.85,2024-12-17,Merchandise
M000016,2025,5,5,432.63,2025-03-02,Dessert
M000017,2025,8,8,1610.88,2025-03-16,Merchandise
M000018,2022,9,27,2289.54,2022-12-21,Dessert
M000018,2023,7,7,786.06,2023-12-04,Coffee
M000018,2024,9,18,740.45,2024-12-23,Pastry
